exp;ntasks;memory;dispatch;wait
single;5;8192;49787;341948
single;5;8192;49696;317973
single;5;8192;49606;320326
single;5;8192;49749;341678
single;5;8192;49655;320420
single;5;8192;49809;341985
single;5;8192;49651;318066
single;5;8192;49640;320236
single;5;8192;49820;341838
single;5;8192;49683;320085
single;5;8192;49742;341930
single;5;8192;49608;319147
single;5;8192;49665;341852
single;5;8192;49643;320146
single;5;8192;49761;341913
single;5;8192;49673;317999
single;5;8192;49745;341624
single;5;8192;49655;320257
single;5;8192;49749;341713
single;5;8192;49767;319998
single;5;8192;49775;341764
single;5;8192;49642;320068
single;5;8192;49749;342084
single;5;8192;49624;319363
single;5;8192;49715;341791
single;5;8192;49592;320418
single;5;8192;49736;341851
single;5;8192;49653;320253
single;5;8192;49726;341764
single;5;8192;49561;320166
single;5;8192;49750;341695
single;5;8192;49626;318859
single;5;8192;49699;342912
single;5;8192;49632;320397
single;5;8192;49809;341603
single;5;8192;49642;320129
single;5;8192;49789;341603
single;6;8192;59767;370953
single;6;8192;57366;386252
single;6;8192;57366;391430
single;6;8192;57256;391567
single;6;8192;57398;370688
single;6;8192;57192;370131
single;6;8192;57270;370078
single;6;8192;57229;370819
single;6;8192;57245;370169
single;6;8192;57325;370889
single;6;8192;57325;370953
single;6;8192;57298;370816
single;6;8192;57269;370099
single;6;8192;57309;370037
single;6;8192;57272;370783
single;6;8192;57270;370080
single;6;8192;57256;370599
single;6;8192;57270;370950
single;6;8192;57315;370837
single;6;8192;57281;370558
single;6;8192;57291;370858
single;6;8192;57276;370075
single;6;8192;57280;370056
single;6;8192;57252;370880
single;6;8192;57266;370046
single;6;8192;57322;370076
single;6;8192;57351;370759
single;6;8192;57263;370944
single;6;8192;57336;370036
single;6;8192;57328;369999
single;6;8192;57340;370797
single;6;8192;57241;371022
single;6;8192;57316;370829
single;6;8192;57273;370123
single;6;8192;57280;370021
single;6;8192;57231;370067
single;6;8192;57281;370015
single;6;8192;57271;370668
single;6;8192;57221;370748
single;6;8192;57355;370072
single;6;8192;57249;370919
single;6;8192;57273;370116
single;6;8192;57296;370940
single;6;8192;57266;370098
single;6;8192;57297;370729
single;6;8192;57301;370075
single;6;8192;57231;370077
single;6;8192;57355;369967
single;6;8192;57303;370811
single;6;8192;57308;370029
single;7;8192;64996;422131
single;7;8192;64980;450922
single;7;8192;64948;451658
single;7;8192;65024;450737
single;7;8192;65038;451599
single;7;8192;65023;451544
single;7;8192;64973;450986
single;7;8192;65026;450850
single;7;8192;65008;451580
single;7;8192;65000;450373
single;7;8192;65029;451036
single;7;8192;65038;450944
single;7;8192;65027;450880
single;7;8192;64927;451672
single;7;8192;65019;450373
single;7;8192;64926;451720
single;7;8192;64996;450680
single;7;8192;64994;450631
single;7;8192;64963;450033
single;7;8192;64997;450678
single;7;8192;64929;451569
single;7;8192;65032;450913
single;7;8192;65036;450834
single;7;8192;64952;451621
single;7;8192;65008;450931
single;7;8192;64994;450900
single;7;8192;65002;450966
single;7;8192;65087;450976
single;7;8192;64995;450692
single;7;8192;65030;450787
single;7;8192;65038;451563
single;7;8192;64925;451581
single;7;8192;65028;451488
single;7;8192;64978;450846
single;7;8192;64963;450950
single;7;8192;64954;451614
single;7;8192;64989;451620
single;7;8192;64964;450937
single;7;8192;65024;450908
single;7;8192;64979;451524
single;7;8192;64999;451060
single;7;8192;65083;450886
single;7;8192;65011;450924
single;7;8192;65000;450844
single;7;8192;64946;451666
single;7;8192;64964;450462
single;7;8192;65114;450561
single;7;8192;65004;450909
single;7;8192;65036;451400
single;7;8192;64932;450592
single;8;8192;72519;509004
single;8;8192;72562;499088
single;8;8192;72564;496789
single;8;8192;72570;499850
single;8;8192;72547;499666
single;8;8192;72539;499759
single;8;8192;72562;502378
single;8;8192;72531;500037
single;8;8192;72585;503476
single;8;8192;72503;503695
single;8;8192;72541;503558
single;8;8192;72585;496396
single;8;8192;72779;488572
single;8;8192;72492;503679
single;8;8192;72543;499548
single;8;8192;72516;499659
single;8;8192;72534;502397
single;8;8192;72515;503644
single;8;8192;72489;501174
single;8;8192;72453;499786
single;8;8192;72579;499253
single;8;8192;72616;488558
single;8;8192;72499;498910
single;8;8192;72584;499716
single;8;8192;72620;499746
single;8;8192;72545;499479
single;8;8192;72531;499630
single;8;8192;72517;499757
single;8;8192;72434;499650
single;8;8192;72603;502230
single;8;8192;72513;501107
single;8;8192;72532;499671
single;8;8192;72629;499445
single;8;8192;72506;499690
single;8;8192;72445;499736
single;8;8192;72508;502540
single;8;8192;72585;503638
single;8;8192;72497;501169
single;8;8192;72493;499680
single;8;8192;72534;499530
single;8;8192;72536;499988
single;8;8192;72477;499807
single;8;8192;72476;499733
single;8;8192;72568;499649
single;8;8192;72602;499584
single;8;8192;72612;502215
single;8;8192;72663;503673
single;8;8192;72516;501098
single;8;8192;72608;489377
single;8;8192;72553;496489
single;9;8192;80873;547991
single;9;8192;81128;575494
single;9;8192;80777;551902
single;9;8192;83596;546440
single;9;8192;80884;540320
single;9;8192;80758;546340
single;9;8192;80873;575457
single;9;8192;83650;546658
single;9;8192;83380;551346
single;9;8192;80847;549335
single;9;8192;80897;540515
single;9;8192;80855;553836
single;9;8192;80886;540012
single;9;8192;80788;552378
single;9;8192;83423;549758
single;9;8192;83430;548832
single;9;8192;83613;546591
single;9;8192;83503;548963
single;9;8192;80853;540489
single;9;8192;80890;546237
single;9;8192;80878;570012
single;9;8192;80927;575372
single;9;8192;80714;549996
single;9;8192;80814;540725
single;9;8192;83468;547252
single;9;8192;83372;543686
single;9;8192;83433;538875
single;9;8192;80973;574373
single;9;8192;80793;549215
single;9;8192;80942;539648
single;9;8192;83535;546428
single;9;8192;80885;539969
single;9;8192;83630;550072
single;9;8192;80762;539926
single;9;8192;80800;550975
single;9;8192;80817;554581
single;9;8192;80817;549375
single;9;8192;83380;551346
single;9;8192;80844;546406
single;9;8192;80765;575685
single;9;8192;83507;551124
single;9;8192;80910;540283
single;9;8192;83506;548786
single;9;8192;83369;544394
single;9;8192;80970;571049
single;9;8192;80914;573220
single;9;8192;83493;548654
single;9;8192;83585;550806
single;9;8192;83509;546457
single;9;8192;80897;540486
single;10;8192;91890;599765
single;10;8192;88650;620407
single;10;8192;91201;594853
single;10;8192;89931;615346
single;10;8192;88692;616718
single;10;8192;91100;591807
single;10;8192;88474;592395
single;10;8192;88597;621693
single;10;8192;91027;591779
single;10;8192;88752;618974
single;10;8192;89952;620184
single;10;8192;91137;593125
single;10;8192;88494;597429
single;10;8192;89868;619329
single;10;8192;91108;590797
single;10;8192;88698;620548
single;10;8192;91070;597133
single;10;8192;91126;591542
single;10;8192;88520;619728
single;10;8192;89963;618095
single;10;8192;91010;596464
single;10;8192;91159;595740
single;10;8192;91111;595574
single;10;8192;88487;597490
single;10;8192;89936;619822
single;10;8192;91041;594355
single;10;8192;90984;591670
single;10;8192;88586;619755
single;10;8192;89864;620352
single;10;8192;91148;593324
single;10;8192;91049;592751
single;10;8192;88617;625684
single;10;8192;91161;594974
single;10;8192;91014;593553
single;10;8192;91108;591899
single;10;8192;91120;594884
single;10;8192;91043;595848
single;10;8192;91045;594118
single;10;8192;91119;592572
single;10;8192;88677;620373
single;10;8192;91138;592465
single;10;8192;88719;625826
single;10;8192;88444;595502
single;10;8192;91038;591959
single;10;8192;88678;620660
single;10;8192;91075;595688
single;10;8192;90978;596134
single;10;8192;91031;592471
single;10;8192;88657;621852
single;10;8192;91050;594494
single;11;8192;98520;651273
single;11;8192;98415;644891
single;11;8192;98493;643955
single;11;8192;98496;646891
single;11;8192;98493;646433
single;11;8192;98488;644928
single;11;8192;98511;644824
single;11;8192;98497;645960
single;11;8192;98394;648240
single;11;8192;98558;645445
single;11;8192;98462;648263
single;11;8192;98550;645310
single;11;8192;99504;646509
single;11;8192;98544;645667
single;11;8192;98481;647057
single;11;8192;98426;646943
single;11;8192;98426;646943
single;11;8192;98385;646214
single;11;8192;98499;646895
single;11;8192;99460;646320
single;11;8192;98501;645003
single;11;8192;98493;644960
single;11;8192;98409;644914
single;11;8192;98340;645559
single;11;8192;98509;645128
single;11;8192;98445;645881
single;11;8192;98486;647964
single;11;8192;98456;647141
single;11;8192;98386;646086
single;11;8192;98445;647911
